test_row_index,true_label,predicted_label,probability_fake,threshold,threshold_strategy,error_type,confidence_wrong,distance_to_threshold,case_bucket,row_id,user_id,asin,timestamp,title,rating,asin_split,user_id_split,timestamp_split,label,label_binary,text_snippet
2169,0,1,0.9872927665710449,0.5,default_0.5,false_positive_real_as_fake,0.9872927665710449,0.4872927665710449,false_positive_top,2169,AGUEFZUYXDUAC6DEFIHHMUAR3PEA,B01CTQC9J2,1/24/2017 1:06,Ehh,2,B01CTQC9J2,AGUEFZUYXDUAC6DEFIHHMUAR3PEA,1/24/2017 1:06,0,0,Ehh
2058,0,1,0.9852931499481201,0.5,default_0.5,false_positive_real_as_fake,0.9852931499481201,0.4852931499481201,false_positive_top,2058,AGRKZYDKMIYQSGCCFPNJENMTASFA,B07LDDP5TV,10/17/2020 18:40,nice and thick and soft,4,B07LDDP5TV,AGRKZYDKMIYQSGCCFPNJENMTASFA,10/17/2020 18:40,0,0,looks great!
3609,0,1,0.984893798828125,0.5,default_0.5,false_positive_real_as_fake,0.984893798828125,0.484893798828125,false_positive_top,3609,AFS37W3ZHLLPYEGY2R6HIT3ZAWAQ,B01LFO6IZK,12/7/2017 7:00,Three Stars,3,B01LFO6IZK,AFS37W3ZHLLPYEGY2R6HIT3ZAWAQ,12/7/2017 7:00,0,0,it's ok
2293,0,1,0.9844256043434143,0.5,default_0.5,false_positive_real_as_fake,0.9844256043434143,0.4844256043434143,false_positive_top,2293,AGIQCNVVTMVEMYP5WGVBGNNZXVRA,B079Y9LCXB,9/2/2018 20:26,100% effect,3,B079Y9LCXB,AGIQCNVVTMVEMYP5WGVBGNNZXVRA,9/2/2018 20:26,0,0,Excelent product
4060,0,1,0.9836122989654541,0.5,default_0.5,false_positive_real_as_fake,0.9836122989654541,0.4836122989654541,false_positive_top,4060,AEAK4M57EQ5CHHFMWXWPPDU7RU5Q,B01GQLTYLC,12/18/2016 16:53,Two Stars,2,B01GQLTYLC,AEAK4M57EQ5CHHFMWXWPPDU7RU5Q,12/18/2016 16:53,0,0,arrived very dry
4185,0,1,0.9795925617218018,0.5,default_0.5,false_positive_real_as_fake,0.9795925617218018,0.47959256172180176,false_positive_top,4185,AEUOKK4ZERRZ7RXMND2QCNJ4UHJQ,B08P4QQXHL,5/15/2021 14:46,Too tight and painful,2,B08P4QQXHL,AEUOKK4ZERRZ7RXMND2QCNJ4UHJQ,5/15/2021 14:46,0,0,Too tight and painful
1621,0,1,0.9795061349868774,0.5,default_0.5,false_positive_real_as_fake,0.9795061349868774,0.47950613498687744,false_positive_top,1621,AGHPJVTDIS2GSXPYHL3IGL46TKPA,B007BBW1WG,9/29/2016 3:33,Three Stars,3,B007BBW1WG,AGHPJVTDIS2GSXPYHL3IGL46TKPA,9/29/2016 3:33,0,0,Its an ok mask.
1535,0,1,0.9776700735092163,0.5,default_0.5,false_positive_real_as_fake,0.9776700735092163,0.4776700735092163,false_positive_top,1535,AF4ID4I76VMOPH7PCBFODAKK65KQ,B01MDTVZTZ,12/15/2022 18:46,Great product,4,B01MDTVZTZ,AF4ID4I76VMOPH7PCBFODAKK65KQ,12/15/2022 18:46,0,0,Pores are tightening
3992,0,1,0.9776427745819092,0.5,default_0.5,false_positive_real_as_fake,0.9776427745819092,0.4776427745819092,false_positive_top,3992,AEL26EZISWPJHAOQ2YI54CRVJREQ,B08TM1NJRD,4/18/2021 12:46,So-so,3,B08TM1NJRD,AEL26EZISWPJHAOQ2YI54CRVJREQ,4/18/2021 12:46,0,0,Expected more from the product
2370,0,1,0.9749425649642944,0.5,default_0.5,false_positive_real_as_fake,0.9749425649642944,0.47494256496429443,false_positive_top,2370,AHTJYSTDT4C4MDDDTGVWRWRQB74Q,B0184K0Y1M,6/9/2017 12:06,Three Stars,3,B0184K0Y1M,AHTJYSTDT4C4MDDDTGVWRWRQB74Q,6/9/2017 12:06,0,0,didn't fit my bottles.
