section,item,value,source_path,notes
final_metrics,final_ensemble_default_threshold,macro_f1=NA; precision_fake=NA; recall_fake=NA; roc_auc=NA,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_final_metrics.csv,Balanced final test row at threshold 0.50.
final_metrics,final_ensemble_selected_threshold,macro_f1=NA; precision_fake=NA; recall_fake=NA; roc_auc=NA,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_final_metrics.csv,Precision-oriented threshold from Phase 5 validation policy.
cv,cv_lightgbm_pca,folds=5; macro_f1_mean=0.865940; precision_fake_mean=0.903090; roc_auc_mean=0.923336,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_cv_summary.csv,full_5fold_cv
pca,selected_components,raw_dim=777; selected_components=400; retained_variance=0.951030,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/pca/phase3_metadata.json,PCA is used for RAM and pipeline stability; Model B no-PCA is a caveat.
features,ModernBERT_plus_behavioral,bert=answerdotai/ModernBERT-base; bert_dim=768; behavioral=9; fused_dim=777,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/features/feature_metadata.json,Five basic and four advanced behavioral features.
target_audit,default_0.5_macro_f1,actual=0.943320; target=0.890000; gap=0.053320; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,default_0.5_precision_fake,actual=0.969872; target=0.975000; gap=-0.005128; pass=False,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,default_0.5_roc_auc,actual=0.976900; target=0.930000; gap=0.046900; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_balanced_macro_f1_threshold_macro_f1,actual=0.946343; target=0.890000; gap=0.056343; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_balanced_macro_f1_threshold_precision_fake,actual=0.934395; target=0.975000; gap=-0.040605; pass=False,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_balanced_macro_f1_threshold_roc_auc,actual=0.976900; target=0.930000; gap=0.046900; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_selected_precision_threshold_macro_f1,actual=0.912628; target=0.890000; gap=0.022628; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_selected_precision_threshold_precision_fake,actual=0.981643; target=0.975000; gap=0.006643; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
target_audit,phase5_selected_precision_threshold_roc_auc,actual=0.976900; target=0.930000; gap=0.046900; pass=True,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_target_audit.csv,Target not reached; report gap explicitly.
ablation,Full Model,delta_macro_f1=0.000000; delta_precision_fake=0.000000; delta_roc_auc=0.000000,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,Headline phase5_weighted_blend; dual-threshold audit is exported separately.
ablation,Model A,delta_macro_f1=-0.037382; delta_precision_fake=-0.001293; delta_roc_auc=-0.023837,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,XGB raw tabular branch only; contrasts with full CNN+XGB weighted blend.
ablation,Model B,delta_macro_f1=-0.037498; delta_precision_fake=-0.007642; delta_roc_auc=-0.024523,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,Raw fused feature LightGBM without PCA; estimated loaded train+test memory 107.7 MB.; train_mode=full_train; train_seconds=178.90
ablation,Model C,delta_macro_f1=-0.074923; delta_precision_fake=-0.065447; delta_roc_auc=-0.052544,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,"Removed advanced behavioral features; {'bert_dim': 768, 'basic_behavioral_features': ['basic_char_len_log', 'basic_word_count_log', 'basic_rating_deviation', 'basic_sentiment_compound', 'basic_verified_purchase'], 'kept_behavioral_indices': [0, 1, 2, 3, 4], 'selected_feature_dim': 773, 'note': 'basic behavioral columns selected from Phase 2 metadata'}; reducer={'reducer': 'PCA_randomized', 'fit_policy': 'fit train only; transform val/test', 'output_dim': 400, 'explained_variance_retained': 0.9509715437889099}; train_mode=full_train; train_seconds=97.27"
ablation,Model D,delta_macro_f1=-0.009029; delta_precision_fake=-0.023372; delta_roc_auc=-0.004318,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,CNN-BiLSTM sequence branch only; contrasts with full weighted blend.
ablation,Model E,delta_macro_f1=-0.176859; delta_precision_fake=-0.188045; delta_roc_auc=-0.137963,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/reports/tables/phase7_ablation_delta.csv,Nearest available baseline from Phase 4; it removes PSO and ensemble but still uses Phase 3 PCA and all 9 behavioral features. Do not overclaim it as a full no-PCA/no-advanced retrain.
