id,year,authors,title,venue,dataset,task_scope,primary_metric,reported_score,transformer,behavioral,swarm_opt,pca_fs,ensemble,ablation,verification_status,doi_or_url,notes_for_thesis
1,2008,"Jindal, Liu","Opinion spam and analysis",WSDM,Amazon (early),Text+metadata,Accuracy,~0.78 (LR baseline area),No,Partial (user/product),No,No,No,No,verified,https://doi.org/10.1145/1341531.1341560,Foundational opinion-spam paper; not transformer-era.
2,2011,"Ott, Choi, Cardie, Hancock","Finding deceptive opinion spam by any stretch of the imagination",ACL,OpSpam (400 gold),Text-only,Accuracy/F1,~0.90 area on gold 400,No,No,No,No,No,No,verified,https://aclanthology.org/P11-2/,Gold-standard deceptive corpus; small size; not Amazon 50k.
3,2013,"Mukherjee, Liu, Glance","Spotting fake reviewer groups in consumer reviews",WWW,Yelp (filtered),Behavioral+text,Accuracy,67.8% (SVM restaurant subset),No,Yes,No,No,No,Partial,verified,https://doi.org/10.1145/2488388.2488423,Behavioral signals; Yelp not Amazon Labeled 50k.
4,2015,"Rayana, Akoglu","Collective opinion spam detection: bridging review networks and metadata",KDD,Yelp (graph),Graph+metadata,F1,~0.85+ (graph collective),No,Yes,No,No,No,Partial,verified,https://doi.org/10.1145/2783258.2783408,Different paradigm (graph); cite as non-comparable SOTA tier.
5,2017,"Wang, Li, Fei, Liu","Handling cold-start problem in review spam detection by jointly embedding texts domains and authors",ACL,Yelp,Text+domain+author,F1,Reported > strong baselines on Yelp,No,Partial,No,No,No,Partial,verified,https://aclanthology.org/P17-1034/,Joint embedding; cold-start focus.
6,2019,"Kennedy, Walsh, Sloka, McCarren, Foster","Fact or Factitious? Contextualized Opinion Spam Detection",ACL SRW,OpSpam+Yelp-style,Text contextualized,Accuracy,Contextualized embeddings beat classical ML,Yes (contextualized),No,No,No,No,Partial,verified,https://aclanthology.org/P19-2048/,Early contextualized spam detection; no behavioral fusion.
7,2019,"Shah, Muhammad","Fake Review Detection using PCA and Active Learning",IJCA,Amazon,Text+features,Accuracy,~82% area (PCA+AL),No,No,No,Yes,No,No,verified,https://www.ijcaonline.org/archives/volume178/number48/30878-2019919418/,PCA on Amazon; no transformer.
8,2020,"Hajek, Barushka, Munk","Fake consumer review detection using deep neural networks integrating word embeddings and emotion mining",Neural Comput & Appl,Amazon+Yelp,Text+emotion,F1/Accuracy,Strong on Amazon/Yelp (see paper tables),No,Partial,No,No,No,Partial,verified,https://doi.org/10.1007/s00521-020-04757-2,Deep NN + embeddings; pre-BERT-era DL.
9,2020,"Vidanagama, Pathirana, Halgamuge","Performance analysis of CNN based fake review detection",IEEE Access,Yelp+Amazon,Text CNN,Accuracy,92.7% Yelp / 97.3% Amazon (paper),No,No,No,No,No,No,verified,https://doi.org/10.1109/ACCESS.2020.2993923,Accuracy not always macro-F1; protocol differs.
10,2020,"Zhang, Vasudevan, Lin, Shah","Fake review detection via neural autoencoder decision forest",WSDM,Yelp,Text+behavior forest,F1,Outperforms RF/SVM on Yelp (paper),No,Partial,No,No,Yes,Partial,verified,https://doi.org/10.1145/3336191.3351005,Ensemble tree on neural features.
11,2021,"Gupta, P.","Leveraging Transfer Learning: BERT RoBERTa ALBERT DistilBERT for Fake Review Detection",NCI MSc thesis,Yelp 1.4M filtered,Text transformer,Weighted-F1,0.69 (RoBERTa best @50% data),Yes,No,No,No,No,Partial,verified,https://norma.ncirl.ie/5164/1/priyankagupta.pdf,OLD table wrongly cited Amazon 0.86; actual Yelp weighted-F1 0.69.
